DAY,SYMBOL,PRICE
2024-05-17 00:00:00.000,REN,0.05896741667
2024-05-17 00:00:00.000,UNI,7.431875
2024-05-17 00:00:00.000,SOL,165.933333333
2024-05-17 00:00:00.000,AAVE,87.402916667
2024-05-17 00:00:00.000,BAL,3.515416667
2024-05-17 00:00:00.000,STG,0.4581129167
2024-05-17 00:00:00.000,RETH,3302.57875
2024-05-17 00:00:00.000,HOP,0.03468412833
2024-05-17 00:00:00.000,COMP,55.947916667
2024-05-17 00:00:00.000,WETH,3023.11625
2024-05-17 00:00:00.000,MPL,13.753333333
2024-05-17 00:00:00.000,CETH,60.81
2024-05-17 00:00:00.000,RPL,19.485833333
2024-05-17 00:00:00.000,DPI,94.62
2024-05-17 00:00:00.000,MKR,2727.404166667
2024-05-17 00:00:00.000,G,0.002937164921
2024-05-17 00:00:00.000,USDC,1.004498375
2024-05-17 00:00:00.000,RSR,0.007192001667
2024-05-17 00:00:00.000,PAXG,2373.939166667
2024-05-17 00:00:00.000,ARB,1.00859925
2024-05-17 00:00:00.000,ENS,14.536666667
2024-05-17 00:00:00.000,FRAX,0.998399
2024-05-17 00:00:00.000,WSTETH,3521.5875
2024-05-17 00:00:00.000,CELR,0.02683024292
2024-05-16 00:00:00.000,CDAI,0.02329211708
2024-05-16 00:00:00.000,COMP,55.54375
2024-05-16 00:00:00.000,HOP,0.03572172042
2024-05-16 00:00:00.000,RETH,3268.609583333
2024-05-16 00:00:00.000,USDC,1.004719332
2024-05-16 00:00:00.000,WSTETH,3483.561666667
2024-05-16 00:00:00.000,REN,0.05821095833
2024-05-16 00:00:00.000,GFI,1.929032619
2024-05-16 00:00:00.000,FRAX,0.9982302917
2024-05-16 00:00:00.000,RSR,0.00676158125
2024-05-16 00:00:00.000,DPI,92.432083333
2024-05-16 00:00:00.000,ARB,0.9796827083
2024-05-16 00:00:00.000,WBTC,65885.5
2024-05-16 00:00:00.000,STG,0.4508969583
2024-05-16 00:00:00.000,MKR,2760.79125
2024-05-16 00:00:00.000,MPL,13.519166667
2024-05-16 00:00:00.000,UNI,7.293125
2024-05-16 00:00:00.000,RPL,20.380833333
2024-05-16 00:00:00.000,SOL,160.81625
2024-05-16 00:00:00.000,BAL,3.465416667
2024-05-16 00:00:00.000,WETH,2989.649583333
2024-05-16 00:00:00.000,CWBTC,1321.904583333
2024-05-16 00:00:00.000,G,0.002920604924
2024-05-16 00:00:00.000,PAXG,2369.050833333
2024-05-16 00:00:00.000,CELR,0.02633763542
2024-05-16 00:00:00.000,ENS,14.215416667
2024-05-16 00:00:00.000,CETH,60.02625
2024-05-16 00:00:00.000,AAVE,85.8475
2024-05-15 00:00:00.000,G,0.003080568743
2024-05-15 00:00:00.000,WSTETH,3416.599166667
2024-05-15 00:00:00.000,FRAX,0.9986103333
2024-05-15 00:00:00.000,MKR,2730.82
2024-05-15 00:00:00.000,CWBTC,1270.854166667
2024-05-15 00:00:00.000,DPI,89.560416667
2024-05-15 00:00:00.000,AAVE,82.839583333
2024-05-15 00:00:00.000,USDC,1.009712678
2024-05-15 00:00:00.000,STG,0.44591875
2024-05-15 00:00:00.000,ARB,0.9566464583
2024-05-15 00:00:00.000,WBTC,63235.041666667
2024-05-15 00:00:00.000,MPL,12.109166667
2024-05-15 00:00:00.000,ENS,13.750833333
2024-05-15 00:00:00.000,RETH,3229.675416667
2024-05-15 00:00:00.000,CDAI,0.02329502333
2024-05-15 00:00:00.000,WETH,2933.364166667
2024-05-15 00:00:00.000,COMP,53.867083333
2024-05-15 00:00:00.000,GFI,1.933407536
